,model1,model2,model3,model4,model5,model6
131,4.647927249714777,4.940730369165421,4.746965143073814,3.266351364783147,4.605897949591582,5.0351707782556545
132,3.884671440020432,4.5096110099684035,5.172680543611171,3.5887212755255584,4.520857602631072,5.129417119028516
133,4.490938272910653,4.937499392483978,4.947000246447677,3.331951137111607,4.8875957680503825,5.0909734050147515
134,4.011276286856829,4.477118686572512,4.692320260914409,3.0178974387263993,4.463230651300264,4.553317617642831
135,4.178140542353558,4.251148948541938,4.501517042099173,2.9514261145190166,4.140196413220126,4.507037368575262
136,4.009468833038826,4.586809940998163,4.6675244030963645,3.3383207689663643,4.253434270889403,4.532222488898838
137,3.782092670545035,4.493364234752586,4.683928917445519,2.6839576756089265,4.389804168775106,4.6078349744730875
138,3.835613045786831,4.271753865516003,4.6803312473949665,2.1928198602516122,4.055702153881958,4.433114021988568
139,4.571994138086655,4.407618234738297,4.569112199029546,2.8996463737797322,4.0862257920360285,4.582870615867206
140,3.92735304421746,4.400226513574371,4.555148216579054,3.2466027225359695,4.1086194633121895,4.618024725971619
141,4.43145498266491,4.477991016438872,4.507755505412325,2.913392196424331,4.348132286600221,4.376656640362561
142,3.642282851852805,4.132604235877513,4.3287539398837955,2.966200425172643,3.9895156120071613,4.584026917156659
143,4.259254576987966,4.708312849068275,4.685621349213998,3.37168101955247,4.422344650790968,4.681410566960977
144,4.1494282359530565,5.127915652592813,4.583171488875365,3.5738909317350602,4.382849288541707,5.150593307671937
145,4.870357787894167,5.141820876675161,4.976600879854869,3.875723738757231,4.600878490917815,5.145048965522021
146,4.957160016997514,5.110175222642212,5.083632102862166,3.592305712828482,4.5158160683694115,5.0145103081816345
147,4.523653733237065,4.8732134404127265,5.14659955007604,3.085644871938715,4.828838898014149,5.138800230353817
148,4.735182633777074,4.897208557891749,5.203974188194192,3.508636628192642,4.649265739227197,5.117731739963461
149,4.4011410556113315,4.884086019001688,4.237133762264356,3.5379768868593957,4.519529193268898,5.020717734034106
150,4.57768941992888,4.8374626858131995,5.113694838991215,3.249059104884106,4.656777340604625,5.070937934276573
151,4.334599244035772,4.536349830960727,4.314941376570254,2.742170190845924,4.187796078869698,4.3949170205660115
152,4.067472276853386,4.358983303531343,4.459706517449299,1.9581396814706047,4.192025704882263,4.568918616966062
153,4.51466921440941,4.081184189444268,4.004260973146935,3.586587208927303,3.9528905182461327,4.697078616092713
154,3.899413997096604,4.244230310441759,4.173625133714491,1.8052069742419092,4.155149028574719,4.572917567813609
155,4.222227526104774,4.228914839131213,4.561179189895542,2.2781099255791286,4.541986716788759,4.597775867309401
156,4.490566521857377,4.6273951194149125,4.184941731205024,3.6136269197592,3.7216971943783808,4.429816960739016
157,4.217339909310163,4.463288544347602,4.586254383724341,3.141621453575187,4.2101075003196735,4.548419492901264
158,4.002675772676453,4.391835487999272,3.72822688812834,3.1602309202574848,4.122986509644971,4.616850923298418
159,4.041991806132896,4.944316057843137,5.014581564435521,3.078854489304577,5.038411866835793,5.073686309238832
160,4.759296329866358,4.630953665804314,5.173339957164372,2.6263400667952226,4.649415306922579,4.825721186505258
161,4.74155333366056,4.858178185537077,4.852483449665325,3.633340291625874,4.405782701969965,4.864471144762296
162,5.3411749561295485,5.020621474303266,4.830055083299395,3.6324640120643767,4.806023807407611,5.103479908581019
163,4.71820144103944,5.105302766609543,4.424975329874115,3.7717022798298157,4.558518062565232,5.075884116936553
164,4.032305204109975,4.955180003294886,5.307019872223828,3.4070457377483385,4.670440345995758,4.938468564305998
165,4.4698369697354146,5.030447547815121,5.1353438184335705,3.7355676531491526,4.642472273947229,5.090640603821626
166,4.70447944964074,4.6129142093383875,5.272383836975865,3.56002278273558,4.973575799999979,5.0270610043236825
167,4.721640243213961,4.697166020248146,4.989373236998295,2.7421975292286187,4.673111236088385,4.860020838424843
168,4.147275964926152,4.648214351612179,4.926374588811664,2.5070139634473607,4.35734363584796,4.8191424839216275
169,4.21785926137098,5.088950513700645,5.245615884416096,3.336736566137925,5.055595050017244,5.138300227808211
170,3.577375476806429,4.3599645208333015,4.671257701872775,2.333673028437173,4.237197264453594,4.6028032629205065
171,3.900704301839293,4.448780598742058,4.584016769614551,2.538471718891059,4.463171268565071,4.590004601477356
172,4.17851638657457,4.511471664258392,4.471417019304872,2.5443372806103586,4.485043257892203,4.6321619566637775
173,4.331295429362128,4.66873634500259,4.78071148745233,2.6703861423676956,4.544012383007109,4.63488385043957
174,3.9965333985414615,4.337578459939019,4.530223388736293,2.5671075908506515,4.626480530248646,4.612273328397558
175,3.917231623916444,4.395451594181763,4.4898588780604065,2.133563305896899,4.444542506599438,4.681471773284427
176,3.983836998752007,4.713241429421395,4.711891200560986,3.3042956203911804,4.151797850080031,4.7112010650677725
177,4.142271420339148,4.526367226560343,4.451959892989422,2.4075064158138937,4.5060650867960055,4.7377849485548955
178,3.521629765115875,3.9651357790656725,4.592872695153376,2.4741677842287446,4.248258967652993,4.6524269766762165
179,3.917436685188385,4.329018942421187,4.802914910758596,2.7378907582696477,4.449953276180288,4.53249878099415
180,3.9323127401807496,4.658412622679257,4.722227999620459,2.685800746295233,4.408079140848947,4.573908684793657
181,4.347789912366218,4.482702697961213,4.4333879542733845,3.4302362908780286,4.164188430065934,4.677188944958308
182,4.114520052279979,4.391921585980955,4.223651863983309,2.612236820483641,4.3097443009895295,4.454462653128343
183,4.03361326519798,4.3223637924950395,4.610842172169305,3.209520524413261,4.3961277873444065,4.666265766741215
184,4.2329554546258175,4.678106186163664,4.666919887484307,2.3106177408102906,4.348757698845697,4.581857883721869
185,4.256643910449238,4.60766210384904,4.74384092965396,3.055447641193009,4.53775903585443,4.509506548384238
